step,t,dt,Ts,Rd,mpp,m_dot,psat,sum_y_cond,sum_y_cond_raw,psat_over_P,eq_source,eq_exc_type,eq_exc_msg,psat_source,hvap_source,latent_source,L_v,q_g,q_l,q_diff,latent,energy_res,energy_sign,fallback_reason,finite_ok,Ts_eff,Tbub,guard_active,clamp_active,eps_bg,penalty_used,penalty_reason,n_penalty_residual,n_lambda_cap_ts,max_Ts_trial_minus_upper,ls_lambda,ls_clip_ts,ls_clip_mpp,ls_shrink_count,regime,regime_locked,sum_x_psat_over_P,Ts_upper,Ts_guard,Ts_hard
10,0.00022,2e-05,335.350117811766,9.999992422608835e-05,0.00041034826172969737,5.1565805231590135e-11,21.378315285774065,0.0002109875675872101,0.0002109875675872101,0.0002109875675872101,computed,,,p2db,p2db,p2db,332728.38868636766,0.11345692372609455,-0.11352496038207012,8.519327377319579e-05,1.71574113771344e-05,-7.935795115695274e-10,q_g_in/q_l_in/q_diff_in > 0 => heat into interface; q_lat > 0 => latent heat leaving interface (evaporation),,,335.350117811766,489.82493318617344,False,False,1e-12,False,,0,0,nan,,0,0,0,evap,,0.0002109875675872101,486.82493318617344,486.82493318617344,489.7249331861734
11,0.00024,2e-05,336.79827033442876,9.999991105798795e-05,0.0004525938176822319,5.6874515336814783e-11,23.99324912697679,0.00023679495807527056,0.00023679495807527056,0.00023679495807527056,computed,,,p2db,p2db,p2db,332160.4622770189,0.11259570774696723,-0.11267069924437675,9.388215526281909e-05,1.889147028135678e-05,-8.124280644014354e-10,q_g_in/q_l_in/q_diff_in > 0 => heat into interface; q_lat > 0 => latent heat leaving interface (evaporation),,,336.79827033442876,489.82493318617344,False,False,1e-12,False,,0,0,nan,,0,0,0,evap,,0.00023679495807527056,486.82493318617344,486.82493318617344,489.7249331861734
12,0.00026000000000000003,2e-05,338.1820039610432,9.999989657676064e-05,0.0004970607928858872,6.246237221129496e-11,26.765437077712043,0.00026415432595817463,0.00026415432595817463,0.00026415432595817463,computed,,,p2db,p2db,p2db,331616.31506221055,0.11181971177776628,-0.1119020164706188,0.00010301740074029942,2.0713547701910605e-05,-8.398141279246992e-10,q_g_in/q_l_in/q_diff_in > 0 => heat into interface; q_lat > 0 => latent heat leaving interface (evaporation),,,338.1820039610432,489.82493318617344,False,False,1e-12,False,,0,0,nan,,0,0,0,evap,,0.00026415432595817463,486.82493318617344,486.82493318617344,489.7249331861734
13,0.00028000000000000003,2e-05,339.509596647356,9.99998807125181e-05,0.0005438323621061267,6.833982710107017e-11,29.70087253492394,0.00029312482146483037,0.00029312482146483037,0.00029312482146483037,computed,,,p2db,p2db,p2db,331092.8721219075,0.11111637434619594,-0.11120636343662371,0.00011261505339685948,2.2626836814367298e-05,-8.738452828532643e-10,q_g_in/q_l_in/q_diff_in > 0 => heat into interface; q_lat > 0 => latent heat leaving interface (evaporation),,,339.509596647356,489.82493318617344,False,False,1e-12,False,,0,0,nan,,0,0,0,evap,,0.00029312482146483037,486.82493318617344,486.82493318617344,489.7249331861734
14,0.00030000000000000003,2e-05,340.78774124358813,9.99998633928053e-05,0.0005929909909238264,7.451724203700399e-11,32.805603383169206,0.00032376613257507236,0.00032376613257507236,0.00032376613257507236,computed,,,p2db,p2db,p2db,330587.64667101676,0.11047535565284261,-0.11057341300929759,0.00012269093102000535,2.4634488214682377e-05,-9.136496522959712e-10,q_g_in/q_l_in/q_diff_in > 0 => heat into interface; q_lat > 0 => latent heat leaving interface (evaporation),,,340.78774124358813,489.82493318617344,False,False,1e-12,False,,0,0,nan,,0,0,0,evap,,0.00032376613257507236,486.82493318617344,486.82493318617344,489.7249331861734
15,0.00032,2e-05,342.0219324251604,9.999984454259652e-05,0.0006446190240051736,8.100496375014108e-11,36.08574987102157,0.00035613866144605546,0.00035613866144605546,0.00035613866144605546,computed,,,p2db,p2db,p2db,330098.5967062676,0.10988813444061381,-0.10999465650713829,0.00013326074447939017,2.6739634941130488e-05,-9.569862184702338e-10,q_g_in/q_l_in/q_diff_in > 0 => heat into interface; q_lat > 0 => latent heat leaving interface (evaporation),,,342.0219324251604,489.82493318617344,False,False,1e-12,False,,0,0,nan,,0,0,0,evap,,0.00035613866144605546,486.82493318617344,486.82493318617344,489.7249331861734
16,0.00034,2e-05,343.21674214435745,9.999982408427921e-05,0.00069879911214477,8.781337732607658e-11,39.54751951106372,0.0003903036714637426,0.0003903036714637426,0.0003903036714637426,computed,,,p2db,p2db,p2db,329624.0228798148,0.10934765755320364,-0.10946305332779653,0.00014434017825914588,2.894541054038953e-05,-1.0068741377256744e-09,q_g_in/q_l_in/q_diff_in > 0 => heat into interface; q_lat > 0 => latent heat leaving interface (evaporation),,,343.21674214435745,489.82493318617344,False,False,1e-12,False,,0,0,nan,,0,0,0,evap,,0.0003903036714637426,486.82493318617344,486.82493318617344,489.7249331861734
17,0.00036,2e-05,344.3760199802717,9.999980193762789e-05,0.0007556145538902336,9.495294912463917e-11,43.19721971439152,0.0004263234119357663,0.0004263234119357663,0.0004263234119357663,computed,,,p2db,p2db,p2db,329162.4941714708,0.10884805368475815,-0.10897274474645711,0.00015594496207653032,3.1254963406681345e-05,-1.06302911262522e-09,q_g_in/q_l_in/q_diff_in > 0 => heat into interface; q_lat > 0 => latent heat leaving interface (evaporation),,,344.3760199802717,489.82493318617344,False,False,1e-12,False,,0,0,nan,,0,0,0,evap,,0.0004263234119357663,486.82493318617344,486.82493318617344,489.7249331861734
18,0.00038,2e-05,345.5030415746188,9.99997780197721e-05,0.0008151495063272036,1.0243425325710368e-10,47.041268396569365,0.0004642612227640697,0.0004642612227640697,0.0004642612227640697,computed,,,p2db,p2db,p2db,328712.7927943068,0.1083844042044966,-0.10851882476775619,0.00016809090857631732,3.3671465572957e-05,-1.1202562276397621e-09,q_g_in/q_l_in/q_diff_in > 0 => heat into interface; q_lat > 0 => latent heat leaving interface (evaporation),,,345.5030415746188,489.82493318617344,False,False,1e-12,False,,0,0,nan,,0,0,0,evap,,0.0004642612227640697,486.82493318617344,486.82493318617344,489.7249331861734
19,0.0004,2e-05,346.6006205207555,9.999975224515702e-05,0.0008774892284762866,1.1026800216074931e-10,51.08620309524487,0.0005041816244287675,0.0005041816244287675,0.0005041816244287675,computed,,,p2db,p2db,p2db,328273.87264848285,0.10795256177210698,-0.10809715878646686,0.00018079395354389746,3.6198122758413076e-05,-1.1835744002035948e-09,q_g_in/q_l_in/q_diff_in > 0 => heat into interface; q_lat > 0 => latent heat leaving interface (evaporation),,,346.6006205207555,489.82493318617344,False,False,1e-12,False,,0,0,nan,,0,0,0,evap,,0.0005041816244287675,486.82493318617344,486.82493318617344,489.7249331861734
