idx,value
218,-2.0859445962107473e-11
219,-1.9404792509931343e-11
220,6.6355416181093205e-12
221,1.9006809452913376e-10
222,1.7651368660868963e-10
223,1.5059004277860719e-11
224,4.3464140185220498e-10
225,4.0317072533683315e-10
226,2.4675816759557138e-11
227,7.1954955679192006e-10
228,6.6671253339787822e-10
229,3.6916191812116954e-11
230,1.0549674131621863e-09
231,9.7460556640552069e-10
232,5.1324641758654386e-11
233,1.4505012835379605e-09
234,1.3378779613839955e-09
235,6.8186186789791863e-11
236,1.9158783635090581e-09
237,1.7644720464764116e-09
238,8.7211099019605276e-11
239,2.4673419930613490e-09
240,2.2701941469052891e-09
241,1.1335098787647048e-10
242,3.1265015847192423e-09
243,2.8757478637712360e-09
244,1.4052535132577455e-10
245,3.9113442861609201e-09
246,3.5874165830393520e-09
247,1.7563042886432506e-10
248,4.8487955830186904e-09
249,4.4429369189553667e-09
250,2.1571425424850378e-10
251,5.9671961687536737e-09
252,5.4538236616757309e-09
253,2.7183267027155428e-10
254,7.3170519519186879e-09
255,6.6799498371729787e-09
256,3.3264519491042118e-10
257,8.9349641007653741e-09
258,8.1466662827349469e-09
259,4.0510401312658680e-10
260,1.0878819648494711e-08
261,9.9154671552806604e-09
262,5.0776865576810741e-10
263,1.3234148459432236e-08
264,1.2048495359127954e-08
265,6.1991451479167305e-10
266,1.6079977100099103e-08
267,1.4605082501853342e-08
268,7.5755140511295584e-10
269,1.9513856407890885e-08
270,1.7705346586733803e-08
271,9.5605494505129019e-10
272,2.3706798605205888e-08
273,2.1469109817684579e-08
274,1.1476603448877414e-09
275,2.8777994289709527e-08
276,2.6006304639133206e-08
277,1.3915734494341144e-09
278,3.4910919598001573e-08
279,3.1525412199527840e-08
280,1.7632935058582466e-09
281,4.2442169031899878e-08
282,3.8278396542015398e-08
283,2.2299545174735944e-09
284,5.1761211932638902e-08
285,4.6576844684962633e-08
286,2.7136323765468246e-09
287,6.3021125935515461e-08
288,5.6561893477598187e-08
289,3.5870866015836394e-09
290,7.6801776877581465e-08
291,6.8811740452483456e-08
292,4.3738431558779111e-09
293,9.4130798017637350e-08
294,8.3873293392368270e-08
295,6.0951094886009990e-09
296,1.1588156461193417e-07
297,1.0267723080779478e-07
298,8.2587006669100841e-09
299,1.4327155602798583e-07
300,1.2576617334909439e-07
301,1.1359079861196971e-08
302,1.7750602840995529e-07
303,1.5424501201432021e-07
