# step_id=0
# t=0.000000000000e+00
# Ts=3.000000000000e+02
# mpp=0.000000000000e+00
# Rd=1.000000000000e-04
#
phase,r,T,Y_N2,Y_O2,Y_NC7H16,Y_NC12H26,Y_n-Dodecane
gas,2.594168190642e-04,9.000000000000e+02,7.900000088152e-01,2.099999911848e-01,0.000000000000e+00,0.000000000000e+00,
gas,2.667477634157e-04,9.000000000000e+02,7.900000000000e-01,0.000000000000e+00,1.042279955166e-28,2.100000000000e-01,
gas,2.744863267356e-04,9.000000000000e+02,7.899999580227e-01,4.197729359874e-08,2.100000000000e-01,0.000000000000e+00,
gas,2.826641996730e-04,9.000000000000e+02,7.900000062938e-01,2.099999937062e-01,0.000000000000e+00,0.000000000000e+00,
gas,2.913158702890e-04,9.000000000000e+02,7.900000000000e-01,0.000000000000e+00,1.034894666317e-30,2.100000000000e-01,
gas,3.004789021209e-04,9.000000000000e+02,7.899999700297e-01,2.997032358418e-08,2.100000000000e-01,0.000000000000e+00,
gas,3.101942423505e-04,9.000000000000e+02,7.900000043887e-01,2.099999956113e-01,0.000000000000e+00,0.000000000000e+00,
gas,3.205065635887e-04,9.000000000000e+02,7.900000000000e-01,0.000000000000e+00,6.326895918092e-33,2.100000000000e-01,
gas,3.314646432331e-04,9.000000000000e+02,7.899999791014e-01,2.089863068590e-08,2.100000000000e-01,0.000000000000e+00,
gas,3.431217848426e-04,9.000000000000e+02,7.900000029839e-01,2.099999970161e-01,0.000000000000e+00,0.000000000000e+00,
gas,3.555362865391e-04,9.000000000000e+02,7.900000000000e-01,0.000000000000e+00,2.242585625543e-35,2.100000000000e-01,
gas,3.687719620804e-04,9.000000000000e+02,7.899999857910e-01,1.420897322179e-08,2.100000000000e-01,0.000000000000e+00,
gas,3.828987209677e-04,9.000000000000e+02,7.900000019744e-01,2.099999980256e-01,0.000000000000e+00,0.000000000000e+00,
gas,3.979932147709e-04,9.000000000000e+02,7.900000000000e-01,0.000000000000e+00,4.302968899758e-38,2.100000000000e-01,
gas,4.141395577830e-04,9.000000000000e+02,7.899999905979e-01,9.402117269884e-09,2.100000000000e-01,0.000000000000e+00,
gas,4.314301311713e-04,9.000000000000e+02,7.900000012690e-01,2.099999987310e-01,0.000000000000e+00,0.000000000000e+00,
gas,4.499664809927e-04,9.000000000000e+02,7.900000000000e-01,0.000000000000e+00,4.132236356975e-41,2.100000000000e-01,
gas,4.698603218105e-04,9.000000000000e+02,7.899999939573e-01,6.042680214683e-09,2.100000000000e-01,0.000000000000e+00,
gas,4.912346592037e-04,9.000000000000e+02,7.900000007904e-01,2.099999992096e-01,0.000000000000e+00,0.000000000000e+00,
gas,5.142250462380e-04,9.000000000000e+02,7.900000000000e-01,0.000000000000e+00,1.815525497864e-44,2.100000000000e-01,
gas,5.389809909899e-04,9.000000000000e+02,7.899999962363e-01,3.763678058882e-09,2.100000000000e-01,0.000000000000e+00,
gas,5.656675345301e-04,9.000000000000e+02,7.900000004759e-01,2.099999995241e-01,0.000000000000e+00,0.000000000000e+00,
gas,5.944670214100e-04,9.000000000000e+02,7.900000000000e-01,0.000000000000e+00,3.292282056571e-48,2.100000000000e-01,
gas,6.255810877181e-04,9.000000000000e+02,7.899999977337e-01,2.266303459355e-09,2.100000000000e-01,0.000000000000e+00,
gas,6.592328952239e-04,9.000000000000e+02,7.900000002763e-01,2.099999997237e-01,0.000000000000e+00,0.000000000000e+00,
gas,6.956696440870e-04,9.000000000000e+02,7.900000000000e-01,0.000000000000e+00,2.189235044837e-52,2.100000000000e-01,
gas,7.351654011381e-04,9.000000000000e+02,7.899999986842e-01,1.315787897919e-09,2.100000000000e-01,0.000000000000e+00,
gas,7.780242859390e-04,9.000000000000e+02,7.900000001542e-01,2.099999998458e-01,0.000000000000e+00,0.000000000000e+00,
gas,8.245840627927e-04,9.000000000000e+02,7.900000000000e-01,0.000000000000e+00,4.658700745239e-57,2.100000000000e-01,
gas,8.752201937265e-04,9.000000000000e+02,7.899999992656e-01,7.344117549692e-10,2.100000000000e-01,0.000000000000e+00,
