# step_id=10
# t=1.000000000000e-06
# Ts=3.079368931519e+02
# mpp=4.292008169980e-03
# Rd=9.999999114022e-05
#
phase,r,T,Y_N2,Y_O2,Y_NC7H16,Y_NC12H26,Y_n-Dodecane
gas,3.004788933247e-04,8.999999999994e+02,7.899999467927e-01,5.320730476036e-08,2.100000000000e-01,1.000008674261e-14,
gas,3.101942335607e-04,8.999999999999e+02,7.899998545751e-01,2.100001454249e-01,1.008134062762e-14,1.000006922805e-14,
gas,3.205065548061e-04,9.000000000000e+02,7.900000000000e-01,1.000293213932e-14,1.008831823737e-14,2.100000000000e-01,
gas,3.314646344585e-04,9.000000000000e+02,7.899999616398e-01,3.836023137482e-08,2.100000000000e-01,1.000000000000e-14,
gas,3.431217760766e-04,9.000000000000e+02,7.899999069366e-01,2.100000930634e-01,1.005559748592e-14,1.000000000000e-14,
gas,3.555362777827e-04,9.000000000000e+02,7.900000000000e-01,1.009654599648e-14,1.005645070859e-14,2.100000000000e-01,
gas,3.687719533346e-04,9.000000000000e+02,7.899999723908e-01,2.760919150291e-08,2.100000000000e-01,1.002790119567e-14,
gas,3.828987122336e-04,9.000000000000e+02,7.899999415563e-01,2.100000584437e-01,1.001180711362e-14,1.002787199024e-14,
gas,3.979932060497e-04,9.000000000000e+02,7.900000000000e-01,1.003600500719e-14,1.001004964748e-14,2.100000000000e-01,
gas,4.141395490761e-04,9.000000000000e+02,7.899999803248e-01,1.967516082432e-08,2.100000000000e-01,1.005531278018e-14,
gas,4.314301224802e-04,9.000000000000e+02,7.899999640875e-01,2.100000359125e-01,1.000261697127e-14,1.005535250205e-14,
gas,4.499664723190e-04,9.000000000000e+02,7.900000000000e-01,1.004886243885e-14,1.000197497606e-14,2.100000000000e-01,
gas,4.698603131561e-04,9.000000000000e+02,7.899999861972e-01,1.380275153822e-08,2.100000000000e-01,1.008380079845e-14,
gas,4.912346505708e-04,9.000000000000e+02,7.899999784880e-01,2.100000215120e-01,1.000159204757e-14,1.008369363813e-14,
gas,5.142250376288e-04,9.000000000000e+02,7.900000000000e-01,1.011013401159e-14,1.000105958007e-14,2.100000000000e-01,
gas,5.389809824071e-04,9.000000000000e+02,7.899999905079e-01,9.492143038695e-09,2.100000000000e-01,1.044329010889e-14,
gas,5.656675259765e-04,9.000000000000e+02,7.899999875010e-01,2.100000124990e-01,1.000000000000e-14,1.044345061852e-14,
gas,5.944670128890e-04,9.000000000000e+02,7.900000000000e-01,1.002793197109e-14,1.000000000000e-14,2.100000000000e-01,
gas,6.255810792332e-04,9.000000000000e+02,7.899999936221e-01,6.377934608026e-09,2.100000000000e-01,1.002809594869e-14,
gas,6.592328867792e-04,9.000000000000e+02,7.899999930052e-01,2.100000069948e-01,1.010739492615e-14,1.002802760151e-14,
gas,6.956696356870e-04,9.000000000000e+02,7.900000000000e-01,1.010076410490e-14,1.010862752921e-14,2.100000000000e-01,
gas,7.351653927880e-04,9.000000000000e+02,7.899999958247e-01,4.175346565140e-09,2.100000000000e-01,1.002770706863e-14,
gas,7.780242776445e-04,9.000000000000e+02,7.899999962698e-01,2.100000037302e-01,1.010138163019e-14,1.002771679127e-14,
gas,8.245840545602e-04,9.000000000000e+02,7.900000000000e-01,1.003022072562e-14,1.010711655177e-14,2.100000000000e-01,
gas,8.752201855632e-04,9.000000000000e+02,7.899999973437e-01,2.656315981512e-09,2.100000000000e-01,1.008324418436e-14,
gas,9.303504072600e-04,9.000000000000e+02,7.899999981381e-01,2.100000018619e-01,1.000000000000e-14,1.008324872371e-14,
gas,9.904399035137e-04,9.000000000000e+02,7.900000000000e-01,1.001859944199e-14,1.000000000000e-14,2.100000000000e-01,
gas,1.056007156330e-03,9.000000000000e+02,7.899999983619e-01,1.638129152533e-09,2.100000000000e-01,1.002778852767e-14,
gas,1.127630569341e-03,9.000000000000e+02,7.899999991602e-01,2.100000008398e-01,1.000219238802e-14,1.002778189496e-14,
gas,1.205955972137e-03,9.000000000000e+02,7.900000000000e-01,1.008057211185e-14,1.000159058675e-14,2.100000000000e-01,
gas,1.291705129653e-03,9.000000000000e+02,7.899999990232e-01,9.767627601809e-10,2.100000000000e-01,1.002779486249e-14,
gas,1.385685399299e-03,9.000000000000e+02,7.899999996864e-01,2.100000003135e-01,1.000071912573e-14,1.002778696316e-14,
gas,1.488800699820e-03,9.000000000000e+02,7.900000000000e-01,1.011340731222e-14,1.000047152655e-14,2.100000000000e-01,
gas,1.602063980541e-03,9.000000000000e+02,7.899999994384e-01,5.616318640022e-10,2.100000000000e-01,1.013870436232e-14,
gas,1.726611408206e-03,9.000000000000e+02,7.899999999344e-01,2.100000000656e-01,1.006495571802e-14,1.013871914940e-14,
gas,1.863718521663e-03,9.000000000000e+02,7.900000000000e-01,1.002797109138e-14,1.006332463179e-14,2.100000000000e-01,
gas,2.014818643005e-03,9.000000000000e+02,7.899999996895e-01,3.105453369687e-10,2.100000000000e-01,1.008329047308e-14,
gas,2.181523878218e-03,9.000000000000e+02,7.900000000347e-01,2.099999999653e-01,1.012458366219e-14,1.008328569505e-14,
gas,2.365649092058e-03,9.000000000000e+02,7.900000000000e-01,1.006475424971e-14,1.012716753532e-14,2.100000000000e-01,
gas,2.569239301852e-03,9.000000000000e+02,7.899999998354e-01,1.646363985864e-10,2.100000000000e-01,1.008331825324e-14,
gas,2.794601004737e-03,9.000000000000e+02,7.900000000626e-01,2.099999999374e-01,1.000000000000e-14,1.008329816450e-14,
gas,3.044338034063e-03,9.000000000000e+02,7.900000000000e-01,1.001822200711e-14,1.000000000000e-14,2.100000000000e-01,
gas,3.321392635310e-03,9.000000000000e+02,7.899999999166e-01,8.342364247486e-11,2.100000000000e-01,1.032261511229e-14,
gas,3.629092562191e-03,9.000000000000e+02,7.900000000592e-01,2.099999999408e-01,1.008970804815e-14,1.026328223085e-14,
gas,3.971205122315e-03,9.000000000000e+02,7.900000000000e-01,1.002837574767e-14,1.008856187409e-14,2.100000000000e-01,
gas,4.351999252102e-03,9.000000000000e+02,7.899999999587e-01,4.026821342468e-11,2.100000000000e-01,1.000027754426e-12,
gas,4.776316876315e-03,9.000000000000e+02,7.900000000446e-01,2.099999999544e-01,1.020933757286e-14,1.000027754428e-12,
liq,7.589728119320e-06,3.000000000000e+02,,,,,0.000000000000e+00
liq,2.134553562469e-05,3.000000000000e+02,,,,,0.000000000000e+00
liq,3.257765509013e-05,3.000000000000e+02,,,,,0.000000000000e+00
liq,4.185294526403e-05,3.000000000000e+02,,,,,0.000000000000e+00
liq,4.959905185129e-05,3.000000000000e+02,,,,,0.000000000000e+00
liq,5.614133923991e-05,3.000000000000e+02,,,,,0.000000000000e+00
liq,6.172946235409e-05,3.000000000000e+02,,,,,0.000000000000e+00
liq,6.655663157974e-05,3.000000000000e+02,,,,,0.000000000000e+00
liq,7.077368695909e-05,3.000000000000e+02,,,,,0.000000000000e+00
liq,7.449945931936e-05,3.000000000000e+02,,,,,0.000000000000e+00
liq,7.782845759573e-05,3.000000000000e+02,,,,,0.000000000000e+00
liq,8.083661857961e-05,3.000000000000e+02,,,,,0.000000000000e+00
liq,8.358564450617e-05,3.000000000000e+02,,,,,0.000000000000e+00
liq,8.612630633141e-05,3.000000000000e+02,,,,,0.000000000000e+00
liq,8.850098668513e-05,3.000000000000e+02,,,,,0.000000000000e+00
liq,9.074566304243e-05,3.000000000007e+02,,,,,0.000000000000e+00
liq,9.289147956749e-05,3.000000001512e+02,,,,,0.000000000000e+00
liq,9.496601913451e-05,3.000000248608e+02,,,,,0.000000000000e+00
liq,9.699436095738e-05,3.000031896337e+02,,,,,0.000000000000e+00
liq,9.899999114022e-05,3.002947091720e+02,,,,,0.000000000000e+00
