step,t,dt,Ts,Rd,mpp,m_dot,psat,sum_y_cond,sum_y_cond_raw,psat_over_P,eq_source,eq_exc_type,eq_exc_msg,psat_source,hvap_source,latent_source,L_v,q_g,q_l,q_diff,latent,energy_res,energy_sign,fallback_reason,finite_ok,Ts_eff,Tbub,guard_active,clamp_active,eps_bg,penalty_used,penalty_reason,n_penalty_residual,n_lambda_cap_ts,max_Ts_trial_minus_upper,ls_lambda,ls_clip_ts,ls_clip_mpp,ls_shrink_count,regime,regime_locked,sum_x_psat_over_P,Ts_upper,Ts_guard,Ts_hard
10,0.00022,2e-05,428.96077581964903,9.997193830685792e-05,0.10031212043202624,1.259851913169464e-08,7473.066472836672,0.0737534317575788,0.0737534317575788,0.0737534317575788,computed,,,p2db,p2db,p2db,292132.18699610315,0.10949381307364078,-0.11902690528606516,0.013213756067689037,0.003680669488793389,-5.633528729013376e-09,q_g_in/q_l_in/q_diff_in > 0 => heat into interface; q_lat > 0 => latent heat leaving interface (evaporation),,,428.96077581964903,489.82493318617344,False,False,0.001,False,,0,0,nan,,0,0,0,evap,,0.0737534317575788,484.82493318617344,484.82493318617344,489.32493318617344
11,0.00024,2e-05,430.5247394347457,9.996859914614553e-05,0.10406445524941113,1.3068913755979911e-08,8064.91121187284,0.07959448518996141,0.07959448518996141,0.07959448518996141,computed,,,p2db,p2db,p2db,291373.2221626337,0.10842673057645026,-0.11793731806536331,0.013318768515063155,0.0038081859012792096,-4.875129104228715e-09,q_g_in/q_l_in/q_diff_in > 0 => heat into interface; q_lat > 0 => latent heat leaving interface (evaporation),,,430.5247394347457,489.82493318617344,False,False,0.001,False,,0,0,nan,,0,0,0,evap,,0.07959448518996141,484.82493318617344,484.82493318617344,489.32493318617344
12,0.00026000000000000003,2e-05,432.007448084122,9.996513804717299e-05,0.10766646523069737,1.3520335210605667e-08,8664.814956394515,0.08551507482254642,0.08551507482254642,0.08551507482254642,computed,,,p2db,p2db,p2db,290650.6983098765,0.10743151964465224,-0.1168908210636878,0.013389264234678323,0.003929966991179454,-4.175536689847437e-09,q_g_in/q_l_in/q_diff_in > 0 => heat into interface; q_lat > 0 => latent heat leaving interface (evaporation),,,432.007448084122,489.82493318617344,False,False,0.001,False,,0,0,nan,,0,0,0,evap,,0.08551507482254642,484.82493318617344,484.82493318617344,489.32493318617344
13,0.00028000000000000003,2e-05,433.41758125275487,9.996155966299066e-05,0.11111938278344673,1.3952940162034198e-08,9272.481960781102,0.09151228187299386,0.09151228187299386,0.09151228187299386,computed,,,p2db,p2db,p2db,289960.81103051646,0.10649728408481876,-0.11587911783000768,0.013427936175745513,0.004046095511127526,6.919429070516292e-09,q_g_in/q_l_in/q_diff_in > 0 => heat into interface; q_lat > 0 => latent heat leaving interface (evaporation),,,433.41758125275487,489.82493318617344,False,False,0.001,False,,0,0,nan,,0,0,0,evap,,0.09151228187299386,484.82493318617344,484.82493318617344,489.32493318617344
14,0.00030000000000000003,2e-05,434.7622656937671,9.995786859481156e-05,0.11442554098560995,1.4367023844699528e-08,9887.547581589815,0.09758250759032633,0.09758250759032633,0.09758250759032633,computed,,,p2db,p2db,p2db,289300.4397321421,0.10561524171916141,-0.11489599828792009,0.013437455166549426,0.004156693281012911,5.3167778348364725e-09,q_g_in/q_l_in/q_diff_in > 0 => heat into interface; q_lat > 0 => latent heat leaving interface (evaporation),,,434.7622656937671,489.82493318617344,False,False,0.001,False,,0,0,nan,,0,0,0,evap,,0.09758250759032633,484.82493318617344,484.82493318617344,489.32493318617344
15,0.00032,2e-05,436.047471345298,9.995406936011486e-05,0.1175882338741946,1.4763002435501886e-08,10509.61075544176,0.10372179378674325,0.10372179378674325,0.10372179378674325,computed,,,p2db,p2db,p2db,288666.9713941224,0.10477840916820537,-0.11393698865956788,0.013420498764393584,0.004261915172399404,4.100631674497368e-09,q_g_in/q_l_in/q_diff_in > 0 => heat into interface; q_lat > 0 => latent heat leaving interface (evaporation),,,436.047471345298,489.82493318617344,False,False,0.001,False,,0,0,nan,,0,0,0,evap,,0.10372179378674325,484.82493318617344,484.82493318617344,489.32493318617344
16,0.00034,2e-05,437.27827459210346,9.995016636825979e-05,0.12061146840225438,1.514138183383031e-08,11138.251263301863,0.10992599322281632,0.10992599322281632,0.10992599322281632,computed,,,p2db,p2db,p2db,288058.18412009784,0.10398115365536245,-0.1129988567608386,0.013379645984700933,0.004361939598228032,3.2809967572683396e-09,q_g_in/q_l_in/q_diff_in > 0 => heat into interface; q_lat > 0 => latent heat leaving interface (evaporation),,,437.27827459210346,489.82493318617344,False,False,0.001,False,,0,0,nan,,0,0,0,evap,,0.10992599322281632,484.82493318617344,484.82493318617344,489.32493318617344
17,0.00036,2e-05,438.45905255484706,9.994616390106361e-05,0.12349980509144808,1.5502737588234387e-08,11773.044508464822,0.11619091545487117,0.11619091545487117,0.11619091545487117,computed,,,p2db,p2db,p2db,287472.16108446015,0.10321890992528766,-0.112079306688485,0.013317361864319642,0.004456962424869516,2.6762527940288328e-09,q_g_in/q_l_in/q_diff_in > 0 => heat into interface; q_lat > 0 => latent heat leaving interface (evaporation),,,438.45905255484706,489.82493318617344,False,False,0.001,False,,0,0,nan,,0,0,0,evap,,0.11619091545487117,484.82493318617344,484.82493318617344,489.32493318617344
18,0.00038,2e-05,439.5936245066448,9.994206609820319e-05,0.12625820518474026,1.5847695648287568e-08,12413.571871743767,0.12251242903275368,0.12251242903275368,0.12251242903275368,computed,,,p2db,p2db,p2db,286907.22806641494,0.1024879499727819,-0.11117673223172639,0.013235975802878917,0.004547191292655213,2.2512792203360776e-09,q_g_in/q_l_in/q_diff_in > 0 => heat into interface; q_lat > 0 => latent heat leaving interface (evaporation),,,439.5936245066448,489.82493318617344,False,False,0.001,False,,0,0,nan,,0,0,0,evap,,0.12251242903275368,484.82493318617344,484.82493318617344,489.32493318617344
19,0.0004,2e-05,440.6853570477846,9.993787694678902e-05,0.12889190018711688,1.617691593634318e-08,13059.427975896095,0.12888653319413862,0.12888653319413862,0.12888653319413862,computed,,,p2db,p2db,p2db,286361.9071314555,0.10178520358192106,-0.11029002846487625,0.013137667680256763,0.004632840869337244,1.927964329850873e-09,q_g_in/q_l_in/q_diff_in > 0 => heat into interface; q_lat > 0 => latent heat leaving interface (evaporation),,,440.6853570477846,489.82493318617344,False,False,0.001,False,,0,0,nan,,0,0,0,evap,,0.12888653319413862,484.82493318617344,484.82493318617344,489.32493318617344
20,0.00042,2e-05,441.737243565901,9.993360027460537e-05,0.1314062791193824,1.6491078151768144e-08,13710.225563519354,0.13530940600561908,0.13530940600561908,0.13530940600561908,computed,,,p2db,p2db,p2db,285834.8817679937,0.1011081185130685,-0.10941844853562334,0.013024460517898141,0.0047141288314230265,1.6639202767357308e-09,q_g_in/q_l_in/q_diff_in > 0 => heat into interface; q_lat > 0 => latent heat leaving interface (evaporation),,,441.737243565901,489.82493318617344,False,False,0.001,False,,0,0,nan,,0,0,0,evap,,0.13530940600561908,484.82493318617344,484.82493318617344,489.32493318617344
